[20-Feb-2019 08:49:24 UTC] PHP Warning:  Error while sending QUERY packet. PID=30014 in /app/public/wp-includes/wp-db.php on line 1924
[07-Mar-2019 03:49:44 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[07-Mar-2019 03:49:53 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[07-Mar-2019 22:23:36 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[07-Mar-2019 22:23:41 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[08-Mar-2019 23:32:45 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[08-Mar-2019 23:32:48 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 04:52:30 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 04:52:31 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 04:52:32 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 04:52:33 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 04:52:37 UTC] PHP Warning:  require_once(/app/public/wp-content/plugins/composer/wp-cli-composer-command.php): failed to open stream: No such file or directory in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 04:52:37 UTC] PHP Fatal error:  require_once(): Failed opening required '/app/public/wp-content/plugins/composer/wp-cli-composer-command.php' (include_path='.:/usr/share/php:/www/wp-content/pear') in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 04:52:37 UTC] PHP Warning:  require_once(/app/public/wp-content/plugins/composer/wp-cli-composer-command.php): failed to open stream: No such file or directory in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 04:52:37 UTC] PHP Fatal error:  require_once(): Failed opening required '/app/public/wp-content/plugins/composer/wp-cli-composer-command.php' (include_path='.:/usr/share/php:/www/wp-content/pear') in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 04:52:37 UTC] PHP Warning:  require_once(/app/public/wp-content/plugins/composer/wp-cli-composer-command.php): failed to open stream: No such file or directory in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 04:52:37 UTC] PHP Fatal error:  require_once(): Failed opening required '/app/public/wp-content/plugins/composer/wp-cli-composer-command.php' (include_path='.:/usr/share/php:/www/wp-content/pear') in /app/public/wp-content/plugins/composer/composer.php on line 25
[12-Mar-2019 06:22:03 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 06:27:06 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[12-Mar-2019 06:27:09 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[13-Mar-2019 20:11:13 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[13-Mar-2019 20:11:14 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
[13-Mar-2019 21:26:47 UTC] PHP Notice:  Undefined index: HTTP_HOST in phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php(1150) : eval()'d code on line 72
